Part Number ,Description ,Type,Supplier name ,UOM ,,
ING001457,Pepper Green Diced 20mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001496,Potato Peeled Diced 30mm chunk,FRESH,Gradegold Catering,Kg,,
ING001500,Carrot Batons 10mm x 50mm 1KG,FRESH,Gradegold Catering,Kg,,
ING001726,Pepper Green Baton 5mm Thick x 6cm Long,FRESH,Gradegold Catering,Kg,,
ING001727,Pepper Red Baton 5mm thick x 6cm Long,FRESH,Gradegold Catering,Kg,,
ING001737,Celery Diced 20MM,FRESH,Gradegold Catering,Kg,,
ING001757,Lettuce Iceberg Sliced 12MM 6KG,FRESH,Gradegold Catering,Kg,,
ING001776,Carrot Diced 20mm,FRESH,Gradegold Catering,Kg,,
ING001806,Leek Sliced Roundel 5mm,FRESH,Gradegold Catering,Kg,,
ING002350,Mushroom Chesnut Brown 1/4's,FRESH,Gradegold Catering,Kg,,
ING002242,Butternut Squash Diced 10mm kg,FRESH,Gradegold Catering,Kg,,
ING002535,Cauliflower Florets 30-40mm FC,FRESH,Gradegold Catering,Kg,,
ING002663,Carrot Fine Minced 2mm,FRESH,Gradegold Catering,Kg,,
ING000404,Cucumber Whole (12 Each),FRESH,Gradegold Catering,Kg,,
ING000411,Onion Red 1kg,FRESH,Gradegold Catering,Kg,,
ING001766,Cabbage Savoy Shredded 5MM,FRESH,Gradegold Catering,Kg,,
ING001528,Baby Corn (1KG),FRESH,Gradegold Catering,,,
ING001782,Celeriac Rough Cut Diced 25-30MM,FRESH,Gradegold Catering,,,
ING000153,Dill (Bunch 100GM),FRESH,Gradegold Catering,,,
ING001780,Parsnip Diced 5MM,FRESH,Gradegold Catering,,,
ING000213,Grapes Red Seedless (4.5KG),FRESH,Gradegold Catering,kg,,
ING001741,Melon Honeydew Diced 15-20mm,FRESH,Gradegold Catering,,,
ING001742,Melon Cantaloupe Diced 15-20mm,FRESH,Gradegold Catering,,,
ING002672,Wild Garlic leaves chopped 40mm,FRESH,Gradegold Catering,,,
ING002675,"Large whole fresh portabello , 110-130g (8-10CM dia)",FRESH,Gradegold Catering,,,
ING002679,Vine Ripped Tomatoes,FRESH,Gradegold Catering,,,
ING001217,"Apple Red Diced 20 mm (HC), 1Kg",FRESH,Gradegold Catering,,,
ING002445,Courgette Sliced 12-15gm 5-7mm Thick kg,FRESH,Gradegold Catering,,,
ING002706,Aubergiene Diced 10mm,FRESH,Gradegold Catering,,,
ING002667,Lemon Verbena Leaves,FRESH,Gradegold Catering,,,
ING000820,Passion Fruit (1EA),FRESH,Gradegold Catering,,,
ING000110,Curry Leaves Fresh 80GM,FRESH,Gradegold Catering,,,
ING000369,Onion Fine Chopped 2-3mm 1KG,FRESH,Gradegold Catering,,,
ING000463,Pepper Yellow Julienne 2mm 1KG,FRESH,Gradegold Catering,,,
ING002670,Mushroom Flat 1/6's,FRESH,Gradegold Catering,,,
ING000379,Orange Medium 15kg 88s,FRESH,Gradegold Catering,,,
ING000402,Courgette Green 5KG,FRESH,Gradegold Catering,,,
ING000420,Apple Granny Smith (13KG),FRESH,Gradegold Catering,,,
ING000421,BROCCOLI (1x 6kg),FRESH,Gradegold Catering,,,
ING001356,Grapes Green Seedless (1KG),FRESH,Gradegold Catering,,,
ING000413,Pepper Red Whole 1KG,FRESH,Gradegold Catering,,,
ING000436,Strawberry English (250GM),FRESH,Gradegold Catering,,,
ING000464,Pineapple Diced 20MM 10GM (1KG),FRESH,Gradegold Catering,,,
ING000811,Carrot whole peeled (1x1000GR),FRESH,Gradegold Catering,,,
ING001023,Apple Braeburn  (18kg),FRESH,Gradegold Catering,,,
ING001211,Banana Unripened Green (18KG),FRESH,Gradegold Catering,,,
ING001216,Melon Honeydew Diced 20mm/10gm 1KG,FRESH,Gradegold Catering,,,
ING001309,Orange Segments 10gm,FRESH,Gradegold Catering,,,
ING001321,Ginger Fine Chopped  2mm 1KG,FRESH,Gradegold Catering,,,
ING001501,Celery Baton 10mm x 50mm 1KG,FRESH,Gradegold Catering,,,
ING001505,Potato New Halves Skin On 1kg,FRESH,Gradegold Catering,,,
ING001520,Mushroom Button Halved 1kg,FRESH,Gradegold Catering,,,
ING001949,Green Bean Baton 40mm,FRESH,Gradegold Catering,,,
ING001976,Potato Fondant 80gm vaa Each,FRESH,Gradegold Catering,,,
ING000844,Radish (1x300GR),FRESH,Gradegold Catering,,,
ING002448,Apple Green Diced 10mm kg,AMBIENT,Gradegold Catering,,,
ING002577,Potato Grated,AMBIENT,Gradegold Catering,,,
ING000813,Shallots Sliced (1x1000GR),FRESH,Gradegold Catering,,,
ING002606,Tomato Plum Chopped 10mm kg,FRESH,Gradegold Catering,,,
ING001427,Celery Diced 15mm 1KG,FRESH,Gradegold Catering,,,
ING001559,"Onion White Diced 10mm, 1kg",FRESH,Gradegold Catering,,,
ING002218,Potato Sweet Diced 20mm IQF kg,FRESH,Gradegold Catering,Kg,,
ING002432,Onion Diced 20mm IQF,FRESH,Gradegold Catering,Kg,,
ING002501,Oil Olive Extra Virgin Dell'ami,Ambient,h&b,,,
ING002368,Cheese Vegtarian Hard Grated kg,FRESH,H&B Foods Limited,,,
ING002624,Cheese Caerphilly Grated kg,FRESH,H&B Foods Limited,Kg,,
ING000130,Cheese Cheddar Segment Croxton Manor Minis 20g x 200,AMBIENT,H&B Foods Limited,Kg,,
ING000254,Capers Lilliput in Brine 700gm,FRESH,H&B Foods Limited,Kg,,
